"search-number","evaluation","evals-requested-so-far","number-of-nodes*","network-method*","technology-diffusion-method*","word-of-mouth?*","seeding-percentage*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","109","110","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.8208970202660044","0.8173060208210079","""1264146219""","1028.92","1028.92","1028.92","0","1028.92"
"1","110","110","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.8573520071622902","0.8208970202660044","0.8173060208210079","""-897817676""","1028.574","1028.574","1028.574","0","1028.574"
"1","111","115","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""-1811184321""","1028.724","1028.724","1028.724","0","1028.724"
"1","112","115","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""-417751485""","1028.223","1028.223","1028.223","0","1028.223"
"1","113","115","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""-818630428""","1028.281","1028.281","1028.281","0","1028.281"
"1","114","115","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""832830544""","28.554000000000002","28.554000000000002","28.554000000000002","0","28.554000000000002"
"1","115","115","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""1313996783""","1028.775","1028.775","1028.775","0","1028.775"
"1","116","120","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.642506143469268","0.8208970202660044","0.8173060208210079","""580855703""","1028.877","1028.877","1028.877","0","1028.877"
"1","117","120","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.642506143469268","0.8208970202660044","0.8173060208210079","""969434121""","1030.51","1030.51","1030.51","0","1030.51"
"1","118","120","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.642506143469268","0.8208970202660044","0.8173060208210079","""-1046716024""","1029.4","1029.4","1029.4","0","1029.4"
"1","119","120","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.642506143469268","0.8208970202660044","0.8173060208210079","""-899722648""","1027.899","1027.899","1027.899","0","1027.899"
"1","120","120","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03311838396315782","""showerhead""","0.642506143469268","0.8208970202660044","0.8173060208210079","""854962968""","1028.015","1028.015","1028.015","0","1028.015"
"1","121","125","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03169816093634258","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""1056655726""","1027.515","1027.515","1027.515","0","1027.515"
"1","122","125","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03169816093634258","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""292851606""","1028.161","1028.161","1028.161","0","1028.161"
"1","123","125","1000","""suslab""","""schwarz-alternative""","true","1","false","0.03169816093634258","""showerhead""","0.7296922005787954","0.8208970202660044","0.8173060208210079","""1719016470""","1029.261","1029.261","1029.261","0","1029.261"
